ID,CUBE_STRUCTURE_ID,CUBE_VARIABLE_CODE,VARIABLE_ID,ROLE,ORDER,SUBDOMAIN_ID,VARIABLE_SET_ID,MEMBER_ID,DIMENSION_TYPE,ATTRIBUTE_ASSOCIATED_VARIABLE,IS_FLOW,IS_MANDATORY,DESCRIPTION,IS_IMPLEMENTED,IS_IDENTIFIER
1760,LogEntry,LogEntry__action_time__0,action_time,,,,,,,,,,,,
1761,LogEntry,LogEntry__object_repr__0,object_repr,,,,,,,,,,,,
1762,Permission,Permission__name__0,name,,,,,,,,,,,,
1763,Permission,Permission__codename__0,codename,,,,,,,,,,,,
1764,Group,Group__name__0,name,,,,,,,,,,,,
1765,User,User__password__0,password,,,,,,,,,,,,
1766,User,User__last_login__0,last_login,,,,,,,,,,,,
1767,User,User__is_superuser__0,is_superuser,,,,,,,,,,,,
1768,User,User__username__0,username,,,,,,,,,,,,
1769,User,User__first_name__0,first_name,,,,,,,,,,,,
1770,User,User__last_name__0,last_name,,,,,,,,,,,,
1771,User,User__email__0,email,,,,,,,,,,,,
1772,User,User__is_staff__0,is_staff,,,,,,,,,,,,
1773,User,User__is_active__0,is_active,,,,,,,,,,,,
1774,User,User__date_joined__0,date_joined,,,,,,,,,,,,
1775,ContentType,ContentType__app_label__0,app_label,,,,,,,,,,,,
1776,ContentType,ContentType__model__0,model,,,,,,,,,,,,
1777,Session,Session__session_key__0,session_key,,,,,,,,,,,,
1778,Session,Session__expire_date__0,expire_date,,,,,,,,,,,,
1779,SUBDOMAIN,SUBDOMAIN__subdomain_id__0,subdomain_id,,,,,,,,,,,,
1780,SUBDOMAIN,SUBDOMAIN__name__0,name,,,,,,,,,,,,
1781,SUBDOMAIN,SUBDOMAIN__is_listed__0,is_listed,,,,,,,,,,,,
1782,SUBDOMAIN,SUBDOMAIN__code__0,code,,,,,,,,,,,,
1783,SUBDOMAIN,SUBDOMAIN__description__0,description,,,,,,,,,,,,
1784,SUBDOMAIN,SUBDOMAIN__is_natural__0,is_natural,,,,,,,,,,,,
1785,SUBDOMAIN_ENUMERATION,SUBDOMAIN_ENUMERATION__id__0,id,,,,,,,,,,,,
1786,SUBDOMAIN_ENUMERATION,SUBDOMAIN_ENUMERATION__valid_from__0,valid_from,,,,,,,,,,,,
1787,SUBDOMAIN_ENUMERATION,SUBDOMAIN_ENUMERATION__valid_to__0,valid_to,,,,,,,,,,,,
1788,SUBDOMAIN_ENUMERATION,SUBDOMAIN_ENUMERATION__order__0,order,,,,,,,,,,,,
1789,DOMAIN,DOMAIN__domain_id__0,domain_id,,,,,,,,,,,,
1790,DOMAIN,DOMAIN__name__0,name,,,,,,,,,,,,
1791,DOMAIN,DOMAIN__is_enumerated__0,is_enumerated,,,,,,,,,,,,
1792,DOMAIN,DOMAIN__description__0,description,,,,,,,,,,,,
1793,DOMAIN,DOMAIN__data_type__0,data_type,,,,,,,,,,,,
1794,DOMAIN,DOMAIN__code__0,code,,,,,,,,,,,,
1795,DOMAIN,DOMAIN__is_reference__0,is_reference,,,,,,,,,,,,
1796,FACET_COLLECTION,FACET_COLLECTION__code__0,code,,,,,,,,,,,,
1797,FACET_COLLECTION,FACET_COLLECTION__facet_id__0,facet_id,,,,,,,,,,,,
1798,FACET_COLLECTION,FACET_COLLECTION__facet_value_type__0,facet_value_type,,,,,,,,,,,,
1799,FACET_COLLECTION,FACET_COLLECTION__name__0,name,,,,,,,,,,,,
1800,MAINTENANCE_AGENCY,MAINTENANCE_AGENCY__maintenance_agency_id__0,maintenance_agency_id,,,,,,,,,,,,
1801,MAINTENANCE_AGENCY,MAINTENANCE_AGENCY__code__0,code,,,,,,,,,,,,
1802,MAINTENANCE_AGENCY,MAINTENANCE_AGENCY__name__0,name,,,,,,,,,,,,
1803,MAINTENANCE_AGENCY,MAINTENANCE_AGENCY__description__0,description,,,,,,,,,,,,
1804,MEMBER,MEMBER__member_id__0,member_id,,,,,,,,,,,,
1805,MEMBER,MEMBER__code__0,code,,,,,,,,,,,,
1806,MEMBER,MEMBER__name__0,name,,,,,,,,,,,,
1807,MEMBER,MEMBER__description__0,description,,,,,,,,,,,,
1808,MEMBER_HIERARCHY,MEMBER_HIERARCHY__member_hierarchy_id__0,member_hierarchy_id,,,,,,,,,,,,
1809,MEMBER_HIERARCHY,MEMBER_HIERARCHY__code__0,code,,,,,,,,,,,,
1810,MEMBER_HIERARCHY,MEMBER_HIERARCHY__name__0,name,,,,,,,,,,,,
1811,MEMBER_HIERARCHY,MEMBER_HIERARCHY__description__0,description,,,,,,,,,,,,
1812,MEMBER_HIERARCHY,MEMBER_HIERARCHY__is_main_hierarchy__0,is_main_hierarchy,,,,,,,,,,,,
1813,MEMBER_HIERARCHY_NODE,MEMBER_HIERARCHY_NODE__id__0,id,,,,,,,,,,,,
1814,MEMBER_HIERARCHY_NODE,MEMBER_HIERARCHY_NODE__level__0,level,,,,,,,,,,,,
1815,MEMBER_HIERARCHY_NODE,MEMBER_HIERARCHY_NODE__comparator__0,comparator,,,,,,,,,,,,
1816,MEMBER_HIERARCHY_NODE,MEMBER_HIERARCHY_NODE__operator__0,operator,,,,,,,,,,,,
1817,MEMBER_HIERARCHY_NODE,MEMBER_HIERARCHY_NODE__valid_from__0,valid_from,,,,,,,,,,,,
1818,MEMBER_HIERARCHY_NODE,MEMBER_HIERARCHY_NODE__valid_to__0,valid_to,,,,,,,,,,,,
