ID,CUBE_ID,COMBINATION_ID
8670,F_20_04_REF_FINREP_3_0,F_20_04_REF_FINREP_3_0_151052_REF
8671,F_40_01_REF_FINREP_3_0,F_40_01_REF_FINREP_3_0_456733_REF
8672,F_20_04_REF_FINREP_3_0,F_20_04_REF_FINREP_3_0_152496_REF
8673,F_20_06_REF_FINREP_3_0,F_20_06_REF_FINREP_3_0_152161_REF
8674,F_20_04_REF_FINREP_3_0,F_20_04_REF_FINREP_3_0_152580_REF
8675,F_20_04_REF_FINREP_3_0,F_20_04_REF_FINREP_3_0_152487_REF
8676,F_20_04_REF_FINREP_3_0,F_20_04_REF_FINREP_3_0_429377_REF
8677,F_20_04_REF_FINREP_3_0,F_20_04_REF_FINREP_3_0_429322_REF
8678,F_40_02_REF_FINREP_3_0,F_40_02_REF_FINREP_3_0_456731_REF
8679,F_40_01_REF_FINREP_3_0,F_40_01_REF_FINREP_3_0_456973_REF
8680,F_40_01_REF_FINREP_3_0,F_40_01_REF_FINREP_3_0_456081_REF
8681,F_20_06_REF_FINREP_3_0,F_20_06_REF_FINREP_3_0_152163_REF
8682,F_20_04_REF_FINREP_3_0,F_20_04_REF_FINREP_3_0_150848_REF
8683,F_20_04_REF_FINREP_3_0,F_20_04_REF_FINREP_3_0_441778_REF
8684,F_20_04_REF_FINREP_3_0,F_20_04_REF_FINREP_3_0_442052_REF
8685,F_20_04_REF_FINREP_3_0,F_20_04_REF_FINREP_3_0_429285_REF
8686,F_20_04_REF_FINREP_3_0,F_20_04_REF_FINREP_3_0_152410_REF
8687,F_20_04_REF_FINREP_3_0,F_20_04_REF_FINREP_3_0_442055_REF
8688,F_20_04_REF_FINREP_3_0,F_20_04_REF_FINREP_3_0_112763_REF
8689,F_20_04_REF_FINREP_3_0,F_20_04_REF_FINREP_3_0_112767_REF
8690,F_20_04_REF_FINREP_3_0,F_20_04_REF_FINREP_3_0_112764_REF
8691,F_20_04_REF_FINREP_3_0,F_20_04_REF_FINREP_3_0_442065_REF
8692,F_20_04_REF_FINREP_3_0,F_20_04_REF_FINREP_3_0_151065_REF
8693,F_20_04_REF_FINREP_3_0,F_20_04_REF_FINREP_3_0_150847_REF
8694,F_20_04_REF_FINREP_3_0,F_20_04_REF_FINREP_3_0_434228_REF
8695,F_20_04_REF_FINREP_3_0,F_20_04_REF_FINREP_3_0_152578_REF
8696,F_20_04_REF_FINREP_3_0,F_20_04_REF_FINREP_3_0_442058_REF
8697,F_20_04_REF_FINREP_3_0,F_20_04_REF_FINREP_3_0_152412_REF
8698,F_20_04_REF_FINREP_3_0,F_20_04_REF_FINREP_3_0_112782_REF
8699,F_20_04_REF_FINREP_3_0,F_20_04_REF_FINREP_3_0_150852_REF
8700,F_20_04_REF_FINREP_3_0,F_20_04_REF_FINREP_3_0_151062_REF
8701,F_20_04_REF_FINREP_3_0,F_20_04_REF_FINREP_3_0_150849_REF
8702,F_20_04_REF_FINREP_3_0,F_20_04_REF_FINREP_3_0_442044_REF
8703,F_20_04_REF_FINREP_3_0,F_20_04_REF_FINREP_3_0_152358_REF
8704,F_20_04_REF_FINREP_3_0,F_20_04_REF_FINREP_3_0_152494_REF
8705,F_20_04_REF_FINREP_3_0,F_20_04_REF_FINREP_3_0_112773_REF
8706,F_20_04_REF_FINREP_3_0,F_20_04_REF_FINREP_3_0_442042_REF
8707,F_20_04_REF_FINREP_3_0,F_20_04_REF_FINREP_3_0_112798_REF
8708,F_20_04_REF_FINREP_3_0,F_20_04_REF_FINREP_3_0_442053_REF
8709,F_20_04_REF_FINREP_3_0,F_20_04_REF_FINREP_3_0_429411_REF
8710,F_20_04_REF_FINREP_3_0,F_20_04_REF_FINREP_3_0_112771_REF
8711,F_20_04_REF_FINREP_3_0,F_20_04_REF_FINREP_3_0_152408_REF
8712,F_20_04_REF_FINREP_3_0,F_20_04_REF_FINREP_3_0_442059_REF
8713,F_20_04_REF_FINREP_3_0,F_20_04_REF_FINREP_3_0_441757_REF
8714,F_20_04_REF_FINREP_3_0,F_20_04_REF_FINREP_3_0_150850_REF
8715,F_40_01_REF_FINREP_3_0,F_40_01_REF_FINREP_3_0_456459_REF
8716,F_40_01_REF_FINREP_3_0,F_40_01_REF_FINREP_3_0_457222_REF
8717,F_20_06_REF_FINREP_3_0,F_20_06_REF_FINREP_3_0_152172_REF
8718,F_20_04_REF_FINREP_3_0,F_20_04_REF_FINREP_3_0_434230_REF
8719,F_20_04_REF_FINREP_3_0,F_20_04_REF_FINREP_3_0_429379_REF
8720,F_20_06_REF_FINREP_3_0,F_20_06_REF_FINREP_3_0_152167_REF
8721,F_20_04_REF_FINREP_3_0,F_20_04_REF_FINREP_3_0_152497_REF
8722,F_20_04_REF_FINREP_3_0,F_20_04_REF_FINREP_3_0_151066_REF
8723,F_20_04_REF_FINREP_3_0,F_20_04_REF_FINREP_3_0_152492_REF
8724,F_20_06_REF_FINREP_3_0,F_20_06_REF_FINREP_3_0_152165_REF
8725,F_20_04_REF_FINREP_3_0,F_20_04_REF_FINREP_3_0_152581_REF
8726,F_20_04_REF_FINREP_3_0,F_20_04_REF_FINREP_3_0_151070_REF
8727,F_40_01_REF_FINREP_3_0,F_40_01_REF_FINREP_3_0_456726_REF
8728,F_40_01_REF_FINREP_3_0,F_40_01_REF_FINREP_3_0_456974_REF
8729,F_20_04_REF_FINREP_3_0,F_20_04_REF_FINREP_3_0_151069_REF
8730,F_20_04_REF_FINREP_3_0,F_20_04_REF_FINREP_3_0_429324_REF
8731,F_20_04_REF_FINREP_3_0,F_20_04_REF_FINREP_3_0_442062_REF
8732,F_20_04_REF_FINREP_3_0,F_20_04_REF_FINREP_3_0_152367_REF
8733,F_20_04_REF_FINREP_3_0,F_20_04_REF_FINREP_3_0_429289_REF
8734,F_20_04_REF_FINREP_3_0,F_20_04_REF_FINREP_3_0_442049_REF
8735,F_20_04_REF_FINREP_3_0,F_20_04_REF_FINREP_3_0_441810_REF
8736,F_20_04_REF_FINREP_3_0,F_20_04_REF_FINREP_3_0_150898_REF
8737,F_20_04_REF_FINREP_3_0,F_20_04_REF_FINREP_3_0_151068_REF
8738,F_20_04_REF_FINREP_3_0,F_20_04_REF_FINREP_3_0_152368_REF
8739,F_20_04_REF_FINREP_3_0,F_20_04_REF_FINREP_3_0_151058_REF
8740,F_20_04_REF_FINREP_3_0,F_20_04_REF_FINREP_3_0_152474_REF
8741,F_20_04_REF_FINREP_3_0,F_20_04_REF_FINREP_3_0_112781_REF
8742,F_20_04_REF_FINREP_3_0,F_20_04_REF_FINREP_3_0_151051_REF
8743,F_20_04_REF_FINREP_3_0,F_20_04_REF_FINREP_3_0_150853_REF
8744,F_20_04_REF_FINREP_3_0,F_20_04_REF_FINREP_3_0_112765_REF
8745,F_20_04_REF_FINREP_3_0,F_20_04_REF_FINREP_3_0_112801_REF
8746,F_20_04_REF_FINREP_3_0,F_20_04_REF_FINREP_3_0_112807_REF
8747,F_20_04_REF_FINREP_3_0,F_20_04_REF_FINREP_3_0_67802_REF
8748,F_20_04_REF_FINREP_3_0,F_20_04_REF_FINREP_3_0_152583_REF
8749,F_20_04_REF_FINREP_3_0,F_20_04_REF_FINREP_3_0_152409_REF
8750,F_20_04_REF_FINREP_3_0,F_20_04_REF_FINREP_3_0_442063_REF
8751,F_20_04_REF_FINREP_3_0,F_20_04_REF_FINREP_3_0_151055_REF
8752,F_20_04_REF_FINREP_3_0,F_20_04_REF_FINREP_3_0_434225_REF
8753,F_20_04_REF_FINREP_3_0,F_20_04_REF_FINREP_3_0_150896_REF
8754,F_20_04_REF_FINREP_3_0,F_20_04_REF_FINREP_3_0_442061_REF
8755,F_20_04_REF_FINREP_3_0,F_20_04_REF_FINREP_3_0_151064_REF
8756,F_20_04_REF_FINREP_3_0,F_20_04_REF_FINREP_3_0_442041_REF
8757,F_20_04_REF_FINREP_3_0,F_20_04_REF_FINREP_3_0_152366_REF
8758,F_20_04_REF_FINREP_3_0,F_20_04_REF_FINREP_3_0_429287_REF
8759,F_20_04_REF_FINREP_3_0,F_20_04_REF_FINREP_3_0_442051_REF
8760,F_20_04_REF_FINREP_3_0,F_20_04_REF_FINREP_3_0_429355_REF
8761,F_20_04_REF_FINREP_3_0,F_20_04_REF_FINREP_3_0_152486_REF
8762,F_40_01_REF_FINREP_3_0,F_40_01_REF_FINREP_3_0_456729_REF
8763,F_20_04_REF_FINREP_3_0,F_20_04_REF_FINREP_3_0_151049_REF
8764,F_40_01_REF_FINREP_3_0,F_40_01_REF_FINREP_3_0_454813_REF
8765,F_20_04_REF_FINREP_3_0,F_20_04_REF_FINREP_3_0_152576_REF
8766,F_20_04_REF_FINREP_3_0,F_20_04_REF_FINREP_3_0_152489_REF
8767,F_20_06_REF_FINREP_3_0,F_20_06_REF_FINREP_3_0_152166_REF
8768,F_20_04_REF_FINREP_3_0,F_20_04_REF_FINREP_3_0_152490_REF
8769,F_40_01_REF_FINREP_3_0,F_40_01_REF_FINREP_3_0_455016_REF
8770,F_20_04_REF_FINREP_3_0,F_20_04_REF_FINREP_3_0_152479_REF
8771,F_40_02_REF_FINREP_3_0,F_40_02_REF_FINREP_3_0_454692_REF
8772,F_20_04_REF_FINREP_3_0,F_20_04_REF_FINREP_3_0_152491_REF
8773,F_20_04_REF_FINREP_3_0,F_20_04_REF_FINREP_3_0_429288_REF
8774,F_20_06_REF_FINREP_3_0,F_20_06_REF_FINREP_3_0_152160_REF
8775,F_40_01_REF_FINREP_3_0,F_40_01_REF_FINREP_3_0_456465_REF
8776,F_20_04_REF_FINREP_3_0,F_20_04_REF_FINREP_3_0_152476_REF
8777,F_20_06_REF_FINREP_3_0,F_20_06_REF_FINREP_3_0_152162_REF
8778,F_20_04_REF_FINREP_3_0,F_20_04_REF_FINREP_3_0_151071_REF
8779,F_20_04_REF_FINREP_3_0,F_20_04_REF_FINREP_3_0_151061_REF
8780,F_20_04_REF_FINREP_3_0,F_20_04_REF_FINREP_3_0_152411_REF
8781,F_20_04_REF_FINREP_3_0,F_20_04_REF_FINREP_3_0_112806_REF
8782,F_20_04_REF_FINREP_3_0,F_20_04_REF_FINREP_3_0_152481_REF
8783,F_20_04_REF_FINREP_3_0,F_20_04_REF_FINREP_3_0_151072_REF
8784,F_20_04_REF_FINREP_3_0,F_20_04_REF_FINREP_3_0_112805_REF
8785,F_20_04_REF_FINREP_3_0,F_20_04_REF_FINREP_3_0_112759_REF
8786,F_20_04_REF_FINREP_3_0,F_20_04_REF_FINREP_3_0_152364_REF
8787,F_20_04_REF_FINREP_3_0,F_20_04_REF_FINREP_3_0_442054_REF
8788,F_20_04_REF_FINREP_3_0,F_20_04_REF_FINREP_3_0_442060_REF
8789,F_40_02_REF_FINREP_3_0,F_40_02_REF_FINREP_3_0_457223_REF
8790,F_20_04_REF_FINREP_3_0,F_20_04_REF_FINREP_3_0_441756_REF
8791,F_20_04_REF_FINREP_3_0,F_20_04_REF_FINREP_3_0_442064_REF
8792,F_20_04_REF_FINREP_3_0,F_20_04_REF_FINREP_3_0_150846_REF
8793,F_20_04_REF_FINREP_3_0,F_20_04_REF_FINREP_3_0_152360_REF
8794,F_20_04_REF_FINREP_3_0,F_20_04_REF_FINREP_3_0_150899_REF
8795,F_20_04_REF_FINREP_3_0,F_20_04_REF_FINREP_3_0_442045_REF
8796,F_20_04_REF_FINREP_3_0,F_20_04_REF_FINREP_3_0_150900_REF
8797,F_20_04_REF_FINREP_3_0,F_20_04_REF_FINREP_3_0_152362_REF
8798,F_20_04_REF_FINREP_3_0,F_20_04_REF_FINREP_3_0_150845_REF
8799,F_20_04_REF_FINREP_3_0,F_20_04_REF_FINREP_3_0_442057_REF
8800,F_20_04_REF_FINREP_3_0,F_20_04_REF_FINREP_3_0_442056_REF
8801,F_20_04_REF_FINREP_3_0,F_20_04_REF_FINREP_3_0_112757_REF
8802,F_20_04_REF_FINREP_3_0,F_20_04_REF_FINREP_3_0_112809_REF
8803,F_20_04_REF_FINREP_3_0,F_20_04_REF_FINREP_3_0_152477_REF
8804,F_20_04_REF_FINREP_3_0,F_20_04_REF_FINREP_3_0_151060_REF
8805,F_20_04_REF_FINREP_3_0,F_20_04_REF_FINREP_3_0_152357_REF
8806,F_20_04_REF_FINREP_3_0,F_20_04_REF_FINREP_3_0_151050_REF
8807,F_40_01_REF_FINREP_3_0,F_40_01_REF_FINREP_3_0_456732_REF
8808,F_20_04_REF_FINREP_3_0,F_20_04_REF_FINREP_3_0_152599_REF
