ID,MEMBER_HIERARCHY_ID,MEMBER_ID,LEVEL,PARENT_MEMBER_ID,COMPARATOR,OPERATOR,VALID_FROM,VALID_TO
19701,EBA_PU_PU23,EBA_PU_EBA_x4,2,EBA_PU_EBA_x0,,+,,
19702,EBA_PU_PU23,EBA_PU_EBA_x1,2,EBA_PU_EBA_x0,,+,,
19703,EBA_PU_PU23,EBA_PU_EBA_x3,2,EBA_PU_EBA_x0,,+,,
19704,EBA_RT_RT3,EBA_RT_EBA_x11,2,EBA_RT_EBA_x8,,+,,
19705,EBA_RT_RT3,EBA_RT_EBA_x10,2,EBA_RT_EBA_x8,,+,,
19706,EBA_NC_NC1,EBA_NC_EBA_B5,2,EBA_NC_EBA_B,,+,,
19707,EBA_NC_NC1,EBA_NC_EBA_B6,2,EBA_NC_EBA_B,,+,,
19708,EBA_NC_NC1,EBA_NC_EBA_A2,2,EBA_NC_EBA_A,,+,,
19709,EBA_NC_NC1,EBA_NC_EBA_B8,2,EBA_NC_EBA_B,,+,,
19710,EBA_NC_NC1,EBA_NC_EBA_A1,2,EBA_NC_EBA_A,,+,,
19711,EBA_NC_NC1,EBA_NC_EBA_B7,2,EBA_NC_EBA_B,,+,,
19712,EBA_NC_NC1,EBA_NC_EBA_B9,2,EBA_NC_EBA_B,,+,,
19713,EBA_NC_NC1,EBA_NC_EBA_A3,2,EBA_NC_EBA_A,,+,,
19714,EBA_GA_GA8,EBA_GA_EBA_DZ,3,EBA_GA_EBA_x1,,,,
19715,EBA_GA_GA5,EBA_GA_EBA_TD,2,EBA_GA_EBA_x0,,,,
19716,EBA_GA_GA5,EBA_GA_EBA_MG,2,EBA_GA_EBA_x0,,,,
19717,EBA_GA_GA5,EBA_GA_EBA_CK,2,EBA_GA_EBA_x0,,,,
19718,EBA_GA_GA8,EBA_GA_EBA_GS,3,EBA_GA_EBA_x1,,,,
19719,EBA_GA_GA1,EBA_GA_EBA_LU,2,EBA_GA_EBA_x0,,+,,
19720,EBA_GA_GA8,EBA_GA_EBA_UG,3,EBA_GA_EBA_x1,,,,
19721,EBA_GA_GA1,EBA_GA_EBA_GB,2,EBA_GA_EBA_x0,,+,,
19722,EBA_GA_GA8,EBA_GA_EBA_BH,3,EBA_GA_EBA_x1,,,,
19723,EBA_GA_GA8,EBA_GA_EBA_OM,3,EBA_GA_EBA_x1,,,,
19724,EBA_GA_GA8,EBA_GA_EBA_VN,3,EBA_GA_EBA_x1,,,,
19725,EBA_GA_GA1,EBA_GA_EBA_DK,2,EBA_GA_EBA_x0,,+,,
19726,EBA_NC_NC1,EBA_NC_EBA_C13,2,EBA_NC_EBA_C,,+,,
19727,EBA_GA_GA5,EBA_GA_EBA_AL,2,EBA_GA_EBA_x0,,,,
19728,EBA_GA_GA8,EBA_GA_EBA_ET,3,EBA_GA_EBA_x1,,,,
19729,EBA_TA_TA1,EBA_TA_EBA_x4,2,EBA_TA_EBA_x0,,+,,
19730,EBA_GA_GA5,EBA_GA_EBA_LI,2,EBA_GA_EBA_x0,,,,
19731,EBA_GA_GA5,EBA_GA_EBA_VC,2,EBA_GA_EBA_x0,,,,
19732,EBA_GA_GA5,EBA_GA_EBA_BE,2,EBA_GA_EBA_x0,,,,
19733,EBA_GA_GA5,EBA_GA_EBA_IR,2,EBA_GA_EBA_x0,,,,
19734,EBA_NC_NC1,EBA_NC_EBA_J58,2,EBA_NC_EBA_J,,+,,
19735,EBA_GA_GA8,EBA_GA_EBA_CF,3,EBA_GA_EBA_x1,,,,
19736,EBA_GA_GA1,EBA_GA_EBA_EE,2,EBA_GA_EBA_x0,,+,,
19737,EBA_GA_GA5,EBA_GA_EBA_SX,2,EBA_GA_EBA_x0,,,,
19738,EBA_GA_GA8,EBA_GA_EBA_NC,3,EBA_GA_EBA_x1,,,,
19739,EBA_GA_GA5,EBA_GA_EBA_AW,2,EBA_GA_EBA_x0,,,,
19740,EBA_GA_GA6,EBA_GA_EBA_LV,2,EBA_GA_EBA_x0,,+,,
19741,EBA_NC_NC1,EBA_NC_EBA_M72,2,EBA_NC_EBA_M,,+,,
19742,EBA_GA_GA5,EBA_GA_EBA_LR,2,EBA_GA_EBA_x0,,,,
19743,EBA_EC_EC2,EBA_EC_EBA_x1,2,EBA_EC_EBA_x0,,+,,
19744,EBA_EC_EC1,EBA_EC_EBA_x5,2,EBA_EC_EBA_x0,=,+,,
19745,EBA_ER_ER1,EBA_ER_EBA_x9,2,EBA_ER_EBA_x0,,+,,
19746,EBA_GA_GA5,EBA_GA_EBA_GE,2,EBA_GA_EBA_x0,,,,
