MAINTENANCE_AGENCY_ID,SUBDOMAIN_ID,NAME,DOMAIN_ID,IS_LISTED,CODE,FACET_ID,DESCRIPTION,IS_NATURAL
,ACCNTNG_CLSSFCTN_ASSTS_domain,,ACCNTNG_CLSSFCTN,,,,,
,ACCNTNG_CLSSFCTN_ETD_INPT_domain,,ACCNTNG_CLSSFCTN,,,,,
,ACCNTNG_CLSSFCTN_INPT_domain,,ACCNTNG_CLSSFCTN,,,,,
,ACCNTNG_CLSSFCTN_LBLTS_domain,,ACCNTNG_CLSSFCTN,,,,,
,ACCNTNG_CNSLDTN_LVL_INPT_domain,,ACCNTNG_CNSLDTN_LVL,,,,,
,ACCNTNG_CNSLDTN_LVL_domain,,ACCNTNG_CNSLDTN_LVL,,,,,
,ACCNTNG_FRMWRK_INPT_domain,,ACCNTNG_FRMWRK,,,,,
,ACCNTNG_FRMWRK_domain,,ACCNTNG_FRMWRK,,,,,
,ACCNTNG_HDG_INDCTR_domain,,ACCNTNG_HDG_INDCTR,,,,,
,ACCRD_INTRST_MRKT_VL_INDCTR_SHSG4_ISIN_ACCRD_INTRST_MRKT_VL_INDCTR_REF_domain,,ACCRD_INTRST_MRKT_VL_INDCTR,,,,,
,APPRCH_CRDT_QLTY_STTS_domain,,APPRCH_CRDT_QLTY_STTS,,,,,
,APPRCH_PRDNTL_PRPSS_domain,,APPRCH_PRDNTL_PRPSS,,,,,
,ASST_ENCMBRNC_SRC_INDCTR_INPT_domain,,ASST_ENCMBRNC_SRC_INDCTR,,,,,
,ASST_PL_INSTRMNT_ASSGNMNT_TYP_domain,,ASST_PL_INSTRMNT_ASSGNMNT_TYP,,,,,
,ASST_PL_TYP_domain,,ASST_PL_TYP,,,,,
,AVLBL_ENCMBRNC_INDCTR_INPT_domain,,AVLBL_ENCMBRNC,,,,,
,CLLTRL_INSTRMNT_RS_INDCTR_INPT_domain,,CLLTRL_INSTRMNT_RS_INDCTR,,,,,
,CLLTRL_NN_FNNCL_ASST_ASSGNMNT_TYP_domain,,CLLTRL_NN_FNNCL_ASST_ASSGNMNT_TYP,,,,,
,CLLTRL_RL_TYP_INPT_domain,,CLLTRL_RL_TYP,,,,,
,CLLTRL_RS_INDCTR_INPT_domain,,CLLTRL_RS_INDCTR,,,,,
,CMMRCL_RL_ESTT_LN_INDCTR_domain,,CMMRCL_RL_ESTT_LN_INDCTR,,,,,
,CNSLDTN_MTHD_FLL_domain,,CNSLDTN_MTHD,,,,,
,CNTRLLD_NTNL_FRGN_BDS_INPT_domain,,INSTTTNL_SCTR_CNTRL,,,,,
,CRDT_FCLTY_ENTTY_RL_ASSGNMNT_TYP_domain,,CRDT_FCLTY_ENTTY_RL_ASSGNMNT_TYP,,,,,
,CRRNCY_SHSG4_ISIN_1_CRRNCY_TRNSCTN_RPRTD_REF_domain,,CRRNCY,,,,,
,CSR_CRV_TYP_domain,,CSR_CRV_TYP,,,,,
,CST_BSD_MTHD_LCM_INDCTR_INPT_domain,,CST_BSD_MTHD_LCM_INDCTR,,,,,
,DBT_FNNCNG_ANCRDT_INDCTR_INPT_domain,,DBT_FNNCNG_ANCRDT_INDCTR,,,,,
,DBT_SCRTY_ACCNTNG_STNDRD_TYP_INPT_domain,,SCRTY_EXCHNG_TRDBL_DRVTV_TYP,,,,,
,DBT_SCRTY_ISSD_PRDNTL_PRTFL_TYP_INPT_domain,,SCRTY_EXCHNG_TRDBL_DRVTV_TYP,,,,,
,DBT_SCRTY_ISSD_TYP_domain,,SCRTY_EXCHNG_TRDBL_DRVTV_TYP,,,,,
,DBT_SCRTY_PRFRMNG_STTS_TYP_INPT_domain,,SCRTY_EXCHNG_TRDBL_DRVTV_TYP,,,,,
,DFLT_STTS_TYP_INPT_domain,,CRDT_QLTY,,,,,
,DFLT_STTS_domain,,CRDT_QLTY,,,,,
,DMSTC_ACTVT_INDCTR_domain,,DMSTC_ACTVT_INDCTR,,,,,
,DRVD_DFLT_STTS_domain,,CRDT_QLTY,,,,,
,DT_OPNNG_BLNC_F_24_01_INTL_RCGNTN_DT_REF_domain,,,,,,,
,ECAI_ECA_domain,,ECAI_ECA,,,,,
,ELGBL_CNTRL_BNK_FNDNG_INPT_domain,,ELGBL_CNTRL_BNK_FNDNG,,,,,
,ELGBL_GRNT_INDCTR_INPT_domain,,ELGBL_GRNT_INDCTR,,,,,
,ENCMBRD_ASST_INDCTR_INPT_domain,,SRC_ENCMBRNC,,,,,
,ENTRPRS_INDCTR_INPT_domain,,ENTRPRS_INDCTR,,,,,
,ENTTY_GRP_RL_TYP_domain,,ENTTY_RL_TYP,,,,,
,ENTTY_RL_TYP_domain,,ENTTY_RL_TYP,,,,,
,ENTTY_TRNSCTN_RL_TYP_domain,,ENTTY_RL_TYP,,,,,
,EQUTY_FCTR_TYP_domain,,EQUTY_FCTR_TYP,,,,,
,ERLY_RDMPTN_INCLSN_INDCTR_SHSG4_ISIN_ERLY_RDMPTN_INCLSN_INDCTR_REF_domain,,ERLY_RDMPTN_INCLSN_INDCTR,,,,,
,EXCHNG_TRDBL_DRVTV_PRTCN_ARRNGMNT_ASSGNMNT_TYP_domain,,EXCHNG_TRDBL_DRVTV_PRTCN_ARRNGMNT_ASSGNMNT_TYP,,,,,
,EXCHNG_TRDBL_DRVTV_PSTN_RL_TYP_INPT_domain,,EXCHNG_TRDBL_DRVTV_PSTN_RL_TYP,,,,,
,EXPSR_CLSS_CLCLTN_INPT_domain,,EXPSR_CLSS,,,,,
,EXPSR_CLSS_CLCLTN_domain,,EXPSR_CLSS,,,,,
,EXPSR_RCRS_INDCTR_INPT_domain,,RCRS,,,,,
,EXTRNL_PRTY_ID_TYP_domain,,PRTY_CD_TYP,,,,,
,FDCRY_INSTRMNT_INDCTR_INPT_domain,,FDCRY,,,,,
,FNNCL_ASST_INSTRMNT_TYP_CRR_INPT_domain,,ABSTRCT_INSTRMNT_RL_TYP,,,,,
,FNNCL_ASST_INSTRMNT_TYP_FXD_INTRST_RT_INPT_domain,,ABSTRCT_INSTRMNT_RL_TYP,,,,,
,FNNCL_ASST_INSTRMNT_TYP_INTRST_RT_INPT_domain,,ABSTRCT_INSTRMNT_RL_TYP,,,,,
