ID,MEMBER_ID,SUBDOMAIN_ID,VALID_FROM,VALID_TO,ORDER
10391,ACCNTNG_CNSLDTN_LVL_0,ACCNTNG_CNSLDTN_LVL_INPT_domain,,,
10392,ACCNTNG_CNSLDTN_LVL_1,ACCNTNG_CNSLDTN_LVL_INPT_domain,,,
10393,ACCNTNG_CNSLDTN_LVL_2,ACCNTNG_CNSLDTN_LVL_INPT_domain,,,
10394,ACCNTNG_FRMWRK_0,ACCNTNG_FRMWRK_INPT_domain,,,
10395,ACCNTNG_FRMWRK_1,ACCNTNG_FRMWRK_INPT_domain,,,
10396,ACCNTNG_FRMWRK_2,ACCNTNG_FRMWRK_INPT_domain,,,
10397,ACCNTNG_FRMWRK_3,ACCNTNG_FRMWRK_INPT_domain,,,
10398,ASST_PL_TYP_1,ASST_PL_TYP_domain,,,
10399,ASST_PL_TYP_2,ASST_PL_TYP_domain,,,
10400,ASST_PL_TYP_3,ASST_PL_TYP_domain,,,
10401,PRMRY_ASST_CLSS_CVR_PL_0,PRMRY_ASST_CLSS_CVR_PL_INPT_domain,,,
10402,PRMRY_ASST_CLSS_CVR_PL_a,PRMRY_ASST_CLSS_CVR_PL_INPT_domain,,,
10403,PRMRY_ASST_CLSS_CVR_PL_b,PRMRY_ASST_CLSS_CVR_PL_INPT_domain,,,
10404,PRMRY_ASST_CLSS_CVR_PL_c,PRMRY_ASST_CLSS_CVR_PL_INPT_domain,,,
10405,PRMRY_ASST_CLSS_CVR_PL_d,PRMRY_ASST_CLSS_CVR_PL_INPT_domain,,,
10406,PRMRY_ASST_CLSS_CVR_PL_e,PRMRY_ASST_CLSS_CVR_PL_INPT_domain,,,
10407,PRMRY_ASST_CLSS_CVR_PL_f,PRMRY_ASST_CLSS_CVR_PL_INPT_domain,,,
10408,PRMRY_ASST_CLSS_CVR_PL_g,PRMRY_ASST_CLSS_CVR_PL_INPT_domain,,,
